"","application_for","potential_voters","ballots_distributed","ballots_cast","final_voter_count","pass_rate","response_rate"
"1044","Front Yard Parking",68,62,28,62,15,45.16
"1045","Front Yard Parking",111,86,30,86,16,34.88
"1046","Front Yard Parking",73,72,53,72,28,73.61
"1047","Front Yard Parking",41,38,15,38,9,39.47
"1048","Front Yard Parking",75,69,53,69,28,76.81
"1049","Front Yard Parking",130,102,27,102,15,26.47
"1050","Permit Parking",55,51,23,51,13,45.1
"1051","Front Yard Parking",22,15,8,15,5,53.33
"1052","Front Yard Parking",90,76,19,76,11,25
"1053","Front Yard Parking",122,110,46,110,24,41.82
"1054","Front Yard Parking",86,76,33,76,18,43.42
"1055","Front Yard Parking",59,52,40,52,21,76.92
"1056","Business Improvement Area",1719,50,20,50,10,40
"1057","Permit Parking",74,71,42,71,22,59.15
"1058","Front Yard Parking",62,56,34,56,18,60.71
"1059","Front Yard Parking",33,26,20,26,11,76.92
"1060","Permit Parking",132,102,33,102,18,32.35
"1061","Front Yard Parking",76,67,30,67,16,44.78
"1062","Permit Parking",102,102,53,102,28,51.96
"1063","Traffic Calming Safety Zone",43,37,19,37,12,51.35
"1064","Traffic Calming Safety Zone",51,44,26,44,16,59.09
"1065","Traffic Calming Safety Zone",20,20,13,20,8,65
"1066","Front Yard Parking",88,80,25,80,14,31.25
"1067","Front Yard Parking",30,29,25,29,14,86.21
"1068","Front Yard Parking",158,146,79,146,41,54.11
"1069","Front Yard Parking",86,80,43,80,23,53.75
